,image,label_name,label
0,staffordshire_bull_terrier_13.jpg,staffordshire_bull_terrier,27
1,pomeranian_134.jpg,pomeranian,1
2,american_pit_bull_terrier_98.jpg,american_pit_bull_terrier,30
3,yorkshire_terrier_166.jpg,yorkshire_terrier,23
4,pomeranian_198.jpg,pomeranian,1
5,havanese_138.jpg,havanese,12
6,Persian_259.jpg,Persian,18
7,beagle_7.jpg,beagle,15
8,english_setter_10.jpg,english_setter,0
9,Sphynx_155.jpg,Sphynx,31
10,pomeranian_193.jpg,pomeranian,1
11,yorkshire_terrier_183.jpg,yorkshire_terrier,23
12,Sphynx_213.jpg,Sphynx,31
13,leonberger_149.jpg,leonberger,26
14,japanese_chin_47.jpg,japanese_chin,2
15,Egyptian_Mau_130.jpg,Egyptian_Mau,4
16,Abyssinian_196.jpg,Abyssinian,14
17,english_cocker_spaniel_30.jpg,english_cocker_spaniel,19
18,Birman_164.jpg,Birman,11
19,Sphynx_103.jpg,Sphynx,31
20,Abyssinian_81.jpg,Abyssinian,14
21,Bengal_17.jpg,Bengal,34
22,British_Shorthair_274.jpg,British_Shorthair,24
23,Ragdoll_29.jpg,Ragdoll,3
24,german_shorthaired_23.jpg,german_shorthaired,8
25,Egyptian_Mau_61.jpg,Egyptian_Mau,4
26,Abyssinian_143.jpg,Abyssinian,14
27,Persian_41.jpg,Persian,18
28,great_pyrenees_22.jpg,great_pyrenees,28
29,yorkshire_terrier_110.jpg,yorkshire_terrier,23
30,Egyptian_Mau_53.jpg,Egyptian_Mau,4
31,Egyptian_Mau_149.jpg,Egyptian_Mau,4
32,japanese_chin_187.jpg,japanese_chin,2
33,pug_46.jpg,pug,21
34,english_cocker_spaniel_137.jpg,english_cocker_spaniel,19
35,yorkshire_terrier_186.jpg,yorkshire_terrier,23
36,great_pyrenees_18.jpg,great_pyrenees,28
37,Maine_Coon_115.jpg,Maine_Coon,35
38,Bombay_96.jpg,Bombay,16
39,Sphynx_89.jpg,Sphynx,31
40,Abyssinian_156.jpg,Abyssinian,14
41,Russian_Blue_107.jpg,Russian_Blue,25
42,boxer_121.jpg,boxer,32
43,wheaten_terrier_115.jpg,wheaten_terrier,10
44,scottish_terrier_195.jpg,scottish_terrier,33
45,basset_hound_38.jpg,basset_hound,36
46,scottish_terrier_109.jpg,scottish_terrier,33
47,Bengal_51.jpg,Bengal,34
48,wheaten_terrier_106.jpg,wheaten_terrier,10
49,american_bulldog_124.jpg,american_bulldog,6
50,saint_bernard_134.jpg,saint_bernard,7
51,Siamese_232.jpg,Siamese,13
